Description,,Summary Amt.
Beginning balance as of 02/20/2023,,"2,010.13"
Total credits,,"40,003.76"
Total debits,,"-0.89"
Ending balance as of 07/31/2024,,"42,013.00"

Date,Description,Amount,Running Bal.
02/20/2023,Beginning balance as of 02/20/2023,,"2,010.13"
02/23/2023,"Interest Earned","0.01","2,010.14"
03/28/2023,"Interest Earned","0.02","2,010.16"
04/05/2023,"Online Banking transfer from CHK 0491 Confirmation# XXXXX49535","12,000.00","14,010.16"
04/25/2023,"Federal Withholding","-0.02","14,010.14"
04/25/2023,"Interest Earned","0.08","14,010.22"
05/17/2023,"Online Banking transfer from CHK 0491 Confirmation# XXXXX27207","5,000.00","19,010.22"
05/25/2023,"Federal Withholding","-0.03","19,010.19"
05/25/2023,"Interest Earned","0.13","19,010.32"
06/27/2023,"Federal Withholding","-0.04","19,010.28"
06/27/2023,"Interest Earned","0.17","19,010.45"
07/26/2023,"Federal Withholding","-0.04","19,010.41"
07/26/2023,"Interest Earned","0.15","19,010.56"
08/28/2023,"Federal Withholding","-0.04","19,010.52"
08/28/2023,"Interest Earned","0.17","19,010.69"
09/05/2023,"Online Banking transfer from CHK 0491 Confirmation# XXXXX65230","5,000.00","24,010.69"
09/25/2023,"Online Banking transfer from CHK 0491 Confirmation# XXXXX81092","2,000.00","26,010.69"
09/26/2023,"Federal Withholding","-0.04","26,010.65"
09/26/2023,"Interest Earned","0.18","26,010.83"
10/26/2023,"Federal Withholding","-0.05","26,010.78"
10/26/2023,"Interest Earned","0.21","26,010.99"
11/21/2023,"Online Banking transfer from CHK 0491 Confirmation# XXXXX90445","4,000.00","30,010.99"
11/27/2023,"Federal Withholding","-0.06","30,010.93"
11/27/2023,"Interest Earned","0.24","30,011.17"
12/26/2023,"Federal Withholding","-0.06","30,011.11"
12/26/2023,"Interest Earned","0.24","30,011.35"
01/04/2024,"Online Banking transfer from CHK 0491 Confirmation# XXXXX15433","3,000.00","33,011.35"
01/26/2024,"Federal Withholding","-0.06","33,011.29"
01/26/2024,"Interest Earned","0.27","33,011.56"
02/12/2024,"Online Banking transfer from CHK 0491 Confirmation# XXXXX87538","4,000.00","37,011.56"
02/26/2024,"Federal Withholding","-0.07","37,011.49"
02/26/2024,"Interest Earned","0.30","37,011.79"
03/26/2024,"Federal Withholding","-0.07","37,011.72"
03/26/2024,"Interest Earned","0.29","37,012.01"
04/25/2024,"Federal Withholding","-0.07","37,011.94"
04/25/2024,"Interest Earned","0.30","37,012.24"
05/28/2024,"Federal Withholding","-0.08","37,012.16"
05/28/2024,"Interest Earned","0.33","37,012.49"
06/03/2024,"Online Banking transfer from CHK 0491 Confirmation# XXXXX70121","5,000.00","42,012.49"
06/25/2024,"Federal Withholding","-0.07","42,012.42"
06/25/2024,"Interest Earned","0.31","42,012.73"
07/26/2024,"Federal Withholding","-0.09","42,012.64"
07/26/2024,"Interest Earned","0.36","42,013.00"
